Who was Sonic's girlfriend, initially?	Amy:Tails:Johanna:*Madonna:he did not have one	Gaming
Bowser's laugh in Super Mario 64 is the same as Boo's laugh, just slower.	*True:False	Gaming
The Gamecube is the 5th, singular, dedicated Nintendo video game console.	True:*False	Gaming
When was Pluto's planetary status changed to a dwarf planet?	it never was:2005:2004:2007:*2006:2003	Astronomy
"The Horse and His Boy" and "The Lion, the Witch, and the Wardrobe" belong to which series of books?	*Narnia:A Series of Unfortunate Events:Harry Potter:Goosebumps:Magic Tree House:Animorphs	Literature
In the Wizard of Oz, what color were the shoes, originally?	red:blue:green:black:*silver:gold	Literature
The first movie to be given the title of "Blockbuster" was what movie?	*Jaws:Titanic:The Lion King:Hancock:The Sixth Sense:Forrest Gump:The Matrix	Movies
In Disney's "Sleeping Beauty", what was the name of the Queen witch?	*Maleficent:Endora:Endor:Hecate:Aradia	Movies
How many confirmed James Bond movies are there (released and non-released)?	*24:23:22:25:26:5:3:27:30	Movies
In the original film, who steals the Pink Panther?	*The Phantom:Inspector Jacques Clouseau:Cato Fong:Francois:Professor Auguste Balls	Movies
What is Sean Connery's actual first name?	Sean:*Thomas:Bradley:John:Alexander:Connor	Movies
Which of these deserts is the largest in terms of area?	*Arabian:Gobi:Kalahari:Great Basin:Syrian	Geography
The League of Nations was formed at the end of what war?	*World War I:World War II:Vietnam War:Korean War:Cold War	History
Muscles are attatched to bones by what?	ligaments:*tendons:marrow:strings:cartilage	Health
Ivan the Terrible was the czar of what country?	*Russia:England:Scotland:France:Ottoman Empire:Spain:Austria	History
Lightning is what type of electricity?	current:alternating:*static:parallel	Earth
Egyptian pharoah Tutankhamun ruled approximately around what time period?	*1300 B.C.:1600 B.C.:1300 A.D.:400 A.D.:240 A.D.:1740 B.C.	History
All kangaroos have pouches.	True:*False	Animals
Alphabetically, what month comes last?	January:June:July:October:November:December:*September	English
How many bones does a typical adult human have?	*206:210:198:200:250:300:184	Health
Sagittarius A is at the center of what galaxy?	Andromeda:*Milky Way:Sombrero:Small Magellanic Cloud:Large Magellanic Cloud	Astronomy
Of these stars, which is the largest?	*UY Scuti:NML Cygni:RW Cephei:Sun:VX Sagittarii:VY Canis Majoris	Astronomy
One gallon is how many pints?	2:4:*8:6:12:16	Mathematics
What was the name of the Egyptian god of the Sun?	*Ra:Ramses:Hathor:Zeus:Cleopatra:Ankh	History
In the Northern Hemisphere, the Summer Solstice occurs in what month?	May:*June:July:August:September	Earth
In the Southern Hemisphere, the Summer Solstice occurs in what month?	January:February:March:*December:November	Earth
Americans drive on the ______ side of the road, with their steering wheel on the ______ side.	*right; left:right; right:left; right:left; left:right; middle:left; middle	General
The majority of European countries drive on the ______ side of the road, with their steering wheel on the ______ side.	*right; left:right; right:left; right:left; left:right; middle:left; middle	General
A pizza is cut into 3 slices, each slice is then cut in half. How many slices are there?	5:*6:8:9:3	Mathematics
Granite is an example of what type of rock?	*igneous:sedimentary:metamorphic:diamond:rough	Geology
In Greek mythology, who was Zeus's wife?	Aphrodite:*Hera:Athena:Hecate:Iris:Persephone:Rhea	Mythology
Which of the 5 senses is most related to the olfactory system?	taste:touch:hearing:sight:*smell	Health
Which of these is not one of Pablo Picasso's art styles?	surrealism:cubism:classicism:*modernism	Arts
1 inch is how many centimeters?	*2.54:2.45:2.34:2.35:2.65:2.64:3.54:1.45	Mathematics
What is the most abundant element in the universe?	*hydrogen:nitrogen:oxygen:helium:carbon:lithium	Astronomy
"Two households, both alike in dignity" is the opening line of what Shakespearean play?	*Romeo and Juliet:Hamlet:Macbeth:Julius Caesar:Othello:A Midsummer Night's Dream	Arts
"True" is an antonym of "false."	*True:False	English
"Nobody goes to that restaurant because it is too crowded." This is an example of what?	*paradox:oxymoron:sarcasm:irony:tautology:retronym	English
Fuji and Gala are what varieties of fruit?	*apples:oranges:grapes:tomatoes:pears	Botany
What was the primary language used in ancient Rome?	*Latin:Italian:Greek:Roman:English	History
What is the character limit on Twitter?	*140:150:160:130:120:100:200:170	General
Who is the CEO of Facebook?	*Mark Zuckerberg:Jack Dorsey:Sundar Pichai:Steve Ballmer	General
As of February 2014, who is the CEO of Microsoft?	Steve Ballmer:Bill Gates:Steve Jobs:*Satya Nadella:Sundar Pichai:Jack Dorsey	General
Scientifically speaking, a tomato is a vegetable.	True:*False	Botany
Albert Einstein was born in what country?	Austria:Sweden:*Germany:France:Britain	History
What is the formula for mass-energy equivalence?	*E=mc^2:E=mg:E=1/2mv^2:E=M=-k(delta x):p=m/v	Physics
What is the constant for the speed of light in a vaccum?	*299,792,458 m/s:297,799,458 m/s:149,597,870 m/s:299,792,400 m/s:9.807 km/s	Physics
What is the ordinal of 47?	north:south:*fourty-seventh:40:7:74	English
"Two roads diverged in a wood, and I took the one less traveled..." are lines from what American poem?	*The Road Not Taken:Where the Sidewalk Ends:Life is Fine:Stopping by Woods on a Snowy Evening:I Wandered Lonely as a Cloud:Do Not Go Gentle Into That Good Night	Arts
"Rickrolling" consists of tricking someone into listening to what song?	*Never Gonna Give You Up:Caramelldansen:Badger Badger Badger:Here It Goes Again:Thriller	General
How many seconds are in a quarter of 2 minutes?	15:*30:45:60:20:40	Mathematics
If 15/35 = x/7, what is x?	*3:4:5:6:7:9	Mathematics
2, 2, 5, 9, 12, 17. What is the median in this set of numbers?	*7:5:9:7.83:2:17	Mathematics
Almonds grow on bushes.	True:*False	Botany
What is the only planet (as of 2015) that man has walked on?	*Earth:Mars:Moon:Ceres:Deimos:Venus	Astronomy
[(|-9|^2)+100*5]*20. Estimate the answer.	10000:*12000:8000:18000:-12000:-18000	Mathematics
